id,key,value,type
34184938,is_in,Pennsylvania,regular
34184938,continent,North America,is_in
34184938,country,USA,is_in
34184938,name,Pittsburgh,regular
34184938,he,פיטסבורג,name
34184938,pdc,Pittsbarig,name
34184938,ru,Питтсбург,name
34184938,place,city,regular
34184938,population,311647,regular
34184938,short_name,PGH,regular
34184938,wikidata,Q1342,regular
34184938,wikipedia,en:Pittsburgh,regular
104379366,highway,turning_circle,regular
104472649,highway,traffic_signals,regular
104480398,odbl,clean,regular
104563327,odbl,clean,regular
104573452,highway,traffic_signals,regular
104593045,odbl,clean,regular
104630296,highway,traffic_signals,regular
104663452,highway,traffic_signals,regular
104675388,highway,crossing,regular
104695476,highway,traffic_signals,regular
104728862,odbl,clean,regular
104728862,note,Coorniates changed from Undecided User's location.,odbl
104844001,highway,traffic_signals,regular
104852066,highway,traffic_signals,regular
104990049,highway,traffic_signals,regular
104992435,highway,traffic_signals,regular
104998262,highway,traffic_signals,regular
104998262,odbl,clean,regular
105009312,highway,traffic_signals,regular
105012793,highway,traffic_signals,regular
105060928,highway,traffic_signals,regular
105097632,highway,traffic_signals,regular
105100352,highway,traffic_signals,regular
105142425,highway,turning_circle,regular
105142425,source,bing,regular
105242769,highway,traffic_signals,regular
105688775,highway,traffic_signals,regular
105705449,highway,traffic_signals,regular
105710593,highway,traffic_signals,regular
105731704,highway,traffic_signals,regular
105739134,highway,traffic_signals,regular
105875848,highway,stop,regular
105917274,odbl,clean,regular
105963863,highway,traffic_signals,regular
106011401,highway,traffic_signals,regular
106060182,highway,turning_circle,regular
106060182,source,bing,regular
106070720,odbl,clean,regular
154011984,ele,334,regular
154011984,gnis:Class,Populated Place,regular
154011984,gnis:County,Allegheny,regular
154011984,gnis:County_num,003,regular
154011984,gnis:ST_alpha,PA,regular
154011984,gnis:ST_num,42,regular
154011984,id,1192119,gnis
154011984,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154011984,is_in,"Allegheny,Pennsylvania,Pa.,PA,USA",regular
154011984,name,Beltzhoover,regular
154011984,place,neighbourhood,regular
154402243,ele,278,regular
154402243,gnis:Class,Populated Place,regular
154402243,gnis:County,Allegheny,regular
154402243,gnis:County_num,003,regular
154402243,gnis:ST_alpha,PA,regular
154402243,gnis:ST_num,42,regular
154402243,id,1202804,gnis
154402243,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154402243,is_in,"Allegheny,Pennsylvania,Pa.,PA,USA",regular
154402243,name,Perry North,regular
154402243,place,neighbourhood,regular
158380292,ele,340,regular
158380292,gnis:Class,Populated Place,regular
158380292,gnis:County,Allegheny,regular
158380292,gnis:County_num,003,regular
158380292,gnis:ST_alpha,PA,regular
158380292,gnis:ST_num,42,regular
158380292,id,1202833,gnis
158380292,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158380292,is_in,"Allegheny,Pennsylvania,Pa.,PA,USA",regular
158380292,name,Garfield,regular
158380292,place,neighbourhood,regular
158380292,population,3675,regular
158380292,wikidata,Q5523043,regular
158380292,wikipedia,en:Garfield (Pittsburgh),regular
216036771,created_by,JOSM,regular
216036926,created_by,JOSM,regular
216037060,created_by,JOSM,regular
270186903,odbl,clean,regular
271197435,highway,traffic_signals,regular
271201786,railway,railway_crossing,regular
271203169,bus,yes,regular
271203169,name,Palm Garden,regular
271203169,public_transport,stop_position,regular
271203169,tram,yes,regular
271203169,wheelchair,no,regular
271203169,wikidata,Q7128035,regular
271209921,wikidata,Q5432444,regular
278023801,amenity,post_box,regular
278023801,created_by,Potlatch 0.9c,regular
281362844,highway,traffic_signals,regular
303346812,bus,yes,regular
303346812,public_transport,stop_position,regular
303455197,historic,monument,regular
312632777,highway,bus_stop,regular
312632777,note,Routes 44U 501 61A 61B 61C 67A 67C 67E 67F 67J 61D,regular
