id,user,uid,version,changeset,timestamp
11652314,Matt Toups,41187,2,182124,2008-06-16T05:37:34Z
11653025,Milenko,15169,1,449735,2007-11-09T15:59:08Z
11654378,Milenko,15169,1,449735,2007-11-09T16:13:43Z
11669324,Milenko,15169,1,449735,2007-11-09T18:32:08Z
11671412,GeoKitten,2835510,3,37677595,2016-03-08T01:03:43Z
11672257,mdroads,193314,2,7922053,2011-04-21T06:34:43Z
11674363,cowdog,3125856,3,53223668,2017-10-25T01:47:48Z
11679148,Roadsguy,734072,11,50661262,2017-07-28T23:27:51Z
11680155,Milenko,15169,1,450565,2007-11-09T20:10:59Z
11680951,dannykath,2226712,5,42282504,2016-09-19T20:37:01Z
11682199,GeoKitten,2835510,4,37909734,2016-03-17T23:49:19Z
11684003,abbafei,1961753,6,27993951,2015-01-08T10:26:29Z
11685903,bot-mode,451693,2,14460926,2012-12-30T09:17:09Z
11686535,Roadsguy,734072,12,55115171,2018-01-03T00:00:38Z
11687001,HubMiner,238419,17,57773217,2018-04-03T13:40:37Z
11687835,Milenko,15169,1,450565,2007-11-09T21:25:12Z
11688644,rickmastfan67,252811,5,8746664,2011-07-17T11:00:04Z
11689268,rickmastfan67,252811,8,7809423,2011-04-09T01:35:16Z
11689558,GeoKitten,2835510,4,37908664,2016-03-17T22:23:47Z
11690178,mdroads,193314,2,6570956,2010-12-07T05:03:04Z
11690764,bot-mode,451693,3,14807254,2013-01-27T13:33:01Z
11691095,bot-mode,451693,3,14460926,2012-12-30T09:17:28Z
11691624,sansglu10,5181914,6,58648187,2018-05-03T13:31:38Z
11692625,rickmastfan67,252811,5,7809423,2011-04-09T01:35:20Z
11693103,xparxy,843171,4,59903746,2018-06-16T22:40:38Z
11693655,bot-mode,451693,2,14460926,2012-12-30T09:17:37Z
11694033,tmb926,2360295,11,56883030,2018-03-04T21:54:52Z
11694866,abbafei,1961753,4,25765096,2014-09-30T11:06:36Z
11695329,bot-mode,451693,4,14807254,2013-01-27T13:41:19Z
11695816,bot-mode,451693,5,14807254,2013-01-27T13:42:21Z
11696624,bot-mode,451693,2,14807254,2013-01-27T13:43:55Z
11696977,bot-mode,451693,3,14807254,2013-01-27T13:44:38Z
11697703,foxox,1724869,11,30766864,2015-05-04T04:51:29Z
11698245,GeoKitten,2835510,3,38009964,2016-03-22T22:55:23Z
11698846,mdroads,193314,2,7922053,2011-04-21T05:33:58Z
11699394,mdroads,193314,2,6570956,2010-12-07T04:25:55Z
11700240,Roadsguy,734072,16,55169663,2018-01-04T20:42:21Z
11701016,abbafei,1961753,9,24417034,2014-07-29T08:29:41Z
11701921,Jerry Cant,3794999,15,56042653,2018-02-04T00:02:41Z
11702741,bot-mode,451693,2,14460926,2012-12-30T09:18:05Z
11703384,mdroads,193314,2,7930480,2011-04-22T02:58:58Z
11705519,abbafei,1961753,4,45959340,2017-02-09T22:37:47Z
11706418,GeoKitten,2835510,4,40283687,2016-06-25T15:23:57Z
11707314,GeoKitten,2835510,5,43751044,2016-11-18T01:19:40Z
11708041,bot-mode,451693,3,15784263,2013-04-19T12:21:35Z
11708819,GeoKitten,2835510,4,44434302,2016-12-15T22:14:34Z
11709362,TheIdleIdol,1416633,3,16018875,2013-05-07T20:36:42Z
11710196,abbafei,1961753,5,55987570,2018-02-02T07:34:35Z
11710836,GeoKitten,2835510,6,37677595,2016-03-08T01:03:42Z
11711850,Roadsguy,734072,5,55115171,2018-01-03T00:00:40Z
11712186,bot-mode,451693,2,14807867,2013-01-27T14:05:58Z
11712402,mdroads,193314,3,6571087,2010-12-07T05:42:31Z
11713112,abbafei,1961753,5,40560907,2016-07-08T06:00:49Z
11713883,GeoKitten,2835510,3,37966455,2016-03-21T00:23:04Z
11714689,rickmastfan67,252811,13,56313680,2018-02-13T06:02:52Z
11715391,GeoKitten,2835510,4,44519720,2016-12-19T16:22:04Z
11716606,abbafei,1961753,4,25911231,2014-10-07T06:25:09Z
11717215,RoadGeek_MD99,475877,2,9524891,2011-10-10T19:18:29Z
11717718,abbafei,1961753,3,33874131,2015-09-08T07:09:33Z
11718876,tmb926,2360295,9,53440897,2017-11-02T05:27:09Z
11720233,GeoKitten,2835510,5,37989214,2016-03-22T00:24:27Z
11720994,ericadam,2262475,3,24752759,2014-08-14T19:05:03Z
11721865,abbafei,1961753,6,25929994,2014-10-08T00:54:39Z
11722662,GeoKitten,2835510,9,43848916,2016-11-21T14:59:33Z
11724352,tmb926,2360295,8,54218838,2017-11-30T22:55:17Z
11725622,GeoKitten,2835510,8,37071338,2016-02-08T00:34:08Z
