id,key,value,type
11652314,created_by,Potlatch 0.9c,regular
11652314,highway,service,regular
11652314,cfcc,A73,tiger
11652314,reviewed,no,tiger
11652314,source,tiger_import_dch_v0.7_20071109,tiger
11652314,tlid,51683123,tiger
11653025,highway,service,regular
11653025,cfcc,A73,tiger
11653025,reviewed,no,tiger
11653025,source,tiger_import_dch_v0.7_20071109,tiger
11653025,tlid,51682258,tiger
11654378,highway,steps,regular
11654378,cfcc,A72,tiger
11654378,reviewed,no,tiger
11654378,source,tiger_import_dch_v0.7_20071109,tiger
11654378,tlid,51682741,tiger
11669324,highway,service,regular
11669324,cfcc,A73,tiger
11669324,reviewed,no,tiger
11669324,source,tiger_import_dch_v0.7_20071109,tiger
11669324,tlid,51682311,tiger
11671412,highway,residential,regular
11671412,cfcc,A41,tiger
11672257,highway,steps,regular
11672257,cfcc,A72,tiger
11672257,reviewed,no,tiger
11672257,source,tiger_import_dch_v0.7_20071109,tiger
11672257,tlid,51682763,tiger
11674363,highway,service,regular
11679148,NHS,yes,regular
11679148,destination,Carnegie;Airport,regular
11679148,ref,I 376 West;US 19 South,destination
11679148,highway,motorway_link,regular
11679148,lanes,1,regular
11679148,advisory,40 mph,maxspeed
11679148,oneway,yes,regular
11679148,ref,US 19,regular
11679148,penndot,SR 8037,ref
11679148,sidewalk,no,regular
11679148,surface,asphalt,regular
11680155,highway,service,regular
11680155,cfcc,A73,tiger
11680155,reviewed,no,tiger
11680155,source,tiger_import_dch_v0.7_20071109,tiger
11680155,tlid,51689681,tiger
11680951,access,private,regular
11680951,highway,residential,regular
11680951,cfcc,A41,tiger
11680951,reviewed,no,tiger
11682199,highway,service,regular
11682199,oneway,no,regular
11682199,service,alley,regular
11682199,surface,unpaved,regular
11682199,cfcc,A73,tiger
11684003,highway,tertiary_link,regular
11684003,oneway,yes,regular
11684003,cfcc,A63,tiger
11684003,reviewed,no,tiger
11685903,highway,residential,regular
11685903,name,Edgemont Street,regular
11685903,cfcc,A41,tiger
11685903,name_base,Edgemont,tiger
11685903,name_type,St,tiger
11685903,reviewed,no,tiger
11685903,zip_left,15211,tiger
11685903,zip_right,15211,tiger
11686535,NHS,MAP-21,regular
11686535,highway,secondary,regular
11686535,lanes,4,regular
